,,,,,,,,,,
,中断向量号分配,,,,,,,,
,中断向量号,是否使用,使用外设,复用外设1,复用外设2,复用外设3,复用外设4,,
,0,,,,,,,,
,1,,,,,,,,
,2,,,,,,,,
,3,,,,,,,,
,4,,,,,,,,
,5,,,,,,,,
,6,,,,,,,,
,7,,,,,,,,
,8,,,,,,,,
,9,,,,,,,,
,10,yes,TMR61_GCME,TMR62_GCME,TMR63_GCME,,,,
,11,yes,TMR61_GCMF,TMR62_GCMF,TMR63_GCMF,,,,
,12,yes,TMR41_GCMWH,TMR42_GCMWH,TMR43_GCMWH,,,,
,13,yes,TMR41_GCMWL,TMR42_GCMWL,TMR43_GCMWL,,,,
,14,yes,TMRA1_OVF ,TMRA2_OVF ,,,,,
,15,yes,TMRA1_UDF ,TMRA2_UDF ,,,,,
,16,yes,TMRA1_CMP ,TMRA2_CMP ,,,,,
,17,yes,UART4_RXTO,,,,,,
,18,yes,DMA2_CH1_TC,,,,,,
,19,yes,DMA2_CH2_TC,,,,,,
,20,yes,DMA2_CH3_TC,,,,,,
,21,yes,DMA2_ERR,,,,,,
,22,yes,UART4_RXERR,,,,,,
,23,yes,UART4_RX,,,,,,
,24,yes,UART4_TX,,,,,,
,25,yes,UART4_TX_CPLT,,,,,,
,26,yes,SPI1_ERR_IRQ,,,,,,
,27,yes,SPI1_RBF_IRQ,,,,,,
,28,yes,SPI1_TBE,,,,,,
,29,yes,SPI2_ERR_IRQ,,,,,,
,30,yes,SPI2_RBF_IRQ,,,,,,
,31,yes,SPI2_TBE,,,,,,
,32,,,,,,,,
,33,,,,,,,,
,34,,,,,,,,
,35,,,,,,,,
,36,,,,,,,,
,37,,,,,,,,
,38,yes,DMA1_CH0_TC,,,,,,
,39,yes,DMA1_CH1_TC,,,,,,
,40,yes,DMA1_CH2_TC,,,,,,
,41,yes,DMA1_CH3_TC,,,,,,
,42,yes,DMA1_ERR,,,,,,
,43,yes,DMA2_CH0_TC,,,,,,
,44,yes,RTC_ALARM,,,,,,
,45,yes,RTC_PRD,,,,,,
,46,,,,,,,,
,47,,,,,,,,
,48,,,,,,,,
,49,,,,,,,,
,50,yes,TMR61_GCMA,TMR62_GCMA,,,,,
,51,yes,TMR61_GCMB,TMR62_GCMB,,,,,
,52,yes,TMR61_GCMC ,TMR62_GCMC ,,,,,
,53,yes,TMR61_GCMD,TMR62_GCMD,,,,,
,54,yes,TMR61_GOVF,TMR62_GOVF,,,,,
,55,yes,TMR61_GUDF,TMR62_GUDF,,,,,
,56,yes,TMR63_GCMA,,,,,,
,57,yes,TMR63_GCMB,,,,,,
,58,yes,TMR63_GCMC ,,,,,,
,59,yes,TMR63_GCMD,,,,,,
,60,yes,TMR63_GOVF,,,,,,
,61,yes,TMR63_GUDF,,,,,,
,62,,,,,,,,
